,code,year,month,day_of_month,date,state,magnitude,injuries,fatalities,s_latitude,s_longitude,e_latitude,e_longitude,length,width
125,OVPSgQg5HkvAC2zyXf4V,1998,6,11,1998-06-11,IN,4,4,0,39.78,-85.95,39.82,-85.73,13.20,400.00
126,MKAcv3BJCHvxIpBfUVzV,1998,6,2,1998-06-02,PA,4,5,0,40.05,-79.22,39.63,-78.83,36.50,1200.00
127,gth8ofRNxXQ8AnBOssB2,1998,5,30,1998-05-30,SD,4,150,6,43.75,-97.68,43.70,-97.43,14.00,1150.00
128,XJQULfWPQiZv5yXUX4xl,1998,5,7,1998-05-07,NC,4,2,0,35.87,-81.38,35.87,-81.32,4.00,1320.00
129,EVO6zQC5oWFXN9sCyv2I,1998,4,16,1998-04-16,AR,4,12,2,35.87,-90.18,35.90,-90.13,5.00,400.00
130,Z0GYhTH4rBjRdoc19lDe,1998,3,29,1998-03-29,MN,4,19,1,43.95,-95.53,44.27,-94.27,73.50,1500.00
131,4ipZ6Giu6hvXk7SNNtdG,1997,5,27,1997-05-27,TX,4,5,1,30.37,-98.02,30.33,-97.98,5.60,440.00
132,ju8yeBan9O1frxL2md59,1997,3,1,1997-03-01,AR,4,0,0,35.77,-90.18,35.95,-89.72,20.00,200.00
133,VTr2ZRMxvAzbFziQmtZ9,1997,3,1,1997-03-01,TN,4,15,1,35.95,-89.67,36.12,-89.18,15.00,200.00
134,bWuTF2E5jvZBXYjXZCbw,1997,3,1,1997-03-01,TN,4,0,0,36.10,-89.17,36.13,-88.95,10.00,200.00
135,eTFsHIc6jJobCCKDChiG,1997,3,1,1997-03-01,AR,4,40,10,34.52,-92.52,34.65,-92.35,14.00,1407.00
136,BnoPhaO5mtd7mPG8UEEQ,1997,3,1,1997-03-01,AR,4,100,6,33.90,-93.33,34.15,-93.02,27.00,1053.00
137,oeQZel1zYmTvsNlSPAVd,1997,3,1,1997-03-01,AR,4,180,5,34.62,-92.35,34.75,-92.20,11.00,1407.00
138,EeVknjsgJmOSGmpSnZaM,1997,3,1,1997-03-01,AR,4,11,0,34.15,-93.00,34.37,-92.68,24.00,527.00
